lat,lng,date,time,frp,admin1,admin2,admin3,admin4
14.38857,-90.60398,2018-10-27,0718,1.5,Escuintla,San Vicente Pacaya,San Francisco De Sales,Aldea
14.38912,-90.60663,2018-10-27,0718,5.2,Escuintla,San Vicente Pacaya,San Francisco De Sales,Aldea
14.38523,-90.60728,2018-10-27,0718,5.2,Escuintla,San Vicente Pacaya,San Francisco De Sales,Aldea
14.38442,-90.6015,2018-10-27,0718,5.2,Escuintla,San Vicente Pacaya,San Francisco De Sales,Aldea
15.10345,-89.19193,2018-10-27,1824,6.2,Zacapa,Gualan,San Enrique,Finca
15.59922,-88.87944,2018-10-27,1824,5.9,Izabal,Livingston,San  Angel Lote Seis,Caserio
16.05783,-90.04427,2018-10-27,1824,5.1,Peten,Sayaxche,La Fortuna,Finca
16.11789,-89.97729,2018-10-27,1824,5.6,Peten,San Luis,Semuc,Parcelamiento
17.07283,-89.17996,2018-10-27,1824,4.3,Peten,Melchor De Mencos,Lain,Otra
17.12718,-90.21059,2018-10-27,1824,8,Peten,San Andres,Cruce Perdido,Caserio
17.1261,-90.21555,2018-10-27,1824,4,Peten,San Andres,Cruce Perdido,Caserio
15.82708,-88.98317,2018-10-27,2006,7.3,Izabal,Livingston,Cerro Blanco,Caserio
15.82974,-88.98461,2018-10-27,2006,7.5,Izabal,Livingston,Cerro Blanco,Caserio
16.07013,-89.6404,2018-10-27,2006,3.5,Peten,San Luis,Semarak,Caserio
16.0691,-89.64029,2018-10-27,2006,4.5,Peten,San Luis,Semarak,Caserio
16.15765,-89.88425,2018-10-27,2006,8.8,Peten,San Luis,San Jorge,Caserio
16.15904,-89.87955,2018-10-27,2006,4.3,Peten,San Luis,San Jorge,Caserio
